Gene_ID,Major_splicing_variants,Seq_info,missing_seq_index
At4g21370,#N/A,#N/A,#N/A
At4g21380,AT4G21380.1,#N/A,AT4G21380.1
At4g21390,AT4G21390.1,#N/A,AT4G21390.1
At4g27290,AT4G27290.1,#N/A,AT4G27290.1
At4g27300,AT4G27300.1,#N/A,AT4G27300.1
At1g11280,AT1G11280.1,#N/A,AT1G11280.1
At1g61360,AT1G61360.1,#N/A,AT1G61360.1
At1g61370,AT1G61370.1,#N/A,AT1G61370.1
At1g61380,AT1G61380.1,#N/A,AT1G61380.1
At1g61390,AT1G61390.1,#N/A,AT1G61390.1
At1g61400,AT1G61400.1,#N/A,AT1G61400.1
At1g61420,AT1G61420.1,#N/A,AT1G61420.1
At1g61430,AT1G61430.1,#N/A,AT1G61430.1
At1g61440,AT1G61440.1,#N/A,AT1G61440.1
At1g61460,AT1G61460.1,#N/A,AT1G61460.1
At1g61480,AT1G61480.1,#N/A,AT1G61480.1
At1g61490,AT1G61490.1,#N/A,AT1G61490.1
At1g61500,AT1G61500.1,#N/A,AT1G61500.1
At1g61550,AT1G61550.1,#N/A,AT1G61550.1
At1g67520,AT1G67520.1,#N/A,AT1G67520.1
At3g16030,AT3G16030.1,#N/A,AT3G16030.1
At4g11900,AT4G11900.1,#N/A,AT4G11900.1
At1g34300,AT1G34300.1,#N/A,AT1G34300.1
At2g19130,AT2G19130.1,#N/A,AT2G19130.1
At4g00340,AT4G00340.1,#N/A,AT4G00340.1
At4g32300,AT4G32300.1,#N/A,AT4G32300.1
At5g24080,AT5G24080.1,#N/A,AT5G24080.1
At5g35370,AT5G35370.1,#N/A,AT5G35370.1
At5g60900,AT5G60900.1,#N/A,AT5G60900.1
At2g41890,#N/A,#N/A,#N/A
At1g49730,AT1G49730.1,#N/A,AT1G49730.1
At3g19300,AT3G19300.1,#N/A,AT3G19300.1
At1g16110,AT1G16110.1,#N/A,AT1G16110.1
At1g16120,AT1G16120.1,#N/A,AT1G16120.1
At1g16130,AT1G16130.1,#N/A,AT1G16130.1
At1g16140,#N/A,#N/A,#N/A
At1g16150,AT1G16150.1,#N/A,AT1G16150.1
At1g16160,AT1G16160.1,#N/A,AT1G16160.1
At1g16260,AT1G16260.1,#N/A,AT1G16260.1
At1g17910,AT1G17910.1,#N/A,AT1G17910.1
At1g19390,AT1G19390.1,#N/A,AT1G19390.1
At1g21210,AT1G21210.1,#N/A,AT1G21210.1
At1g21230,AT1G21230.1,#N/A,AT1G21230.1
At1g21240,AT1G21240.1,#N/A,AT1G21240.1
At1g21250,AT1G21250.1,#N/A,AT1G21250.1
At1g21270,AT1G21270.1,#N/A,AT1G21270.1
